UTC,Open,High,Low,Close,Volume
24.11.2022 01:21:00.000 UTC,1.04213,1.04214,1.04181,1.04181,574.97
24.11.2022 01:22:00.000 UTC,1.04182,1.04184,1.04171,1.04178,314.31
24.11.2022 01:23:00.000 UTC,1.04178,1.04187,1.04176,1.04187,483.22
24.11.2022 01:24:00.000 UTC,1.04187,1.04195,1.04185,1.0419,515.78
24.11.2022 01:25:00.000 UTC,1.0419,1.04208,1.04189,1.04201,416.73
24.11.2022 01:26:00.000 UTC,1.04201,1.04201,1.04194,1.04195,291.04
24.11.2022 01:27:00.000 UTC,1.04194,1.04197,1.04181,1.04188,516.75
24.11.2022 01:28:00.000 UTC,1.04189,1.0419,1.04163,1.04164,422.25
24.11.2022 01:29:00.000 UTC,1.04166,1.04166,1.04152,1.04152,373.12
24.11.2022 01:30:00.000 UTC,1.04152,1.04166,1.04152,1.04163,250.67
24.11.2022 01:31:00.000 UTC,1.04164,1.04171,1.04156,1.04164,286.34
24.11.2022 01:32:00.000 UTC,1.04164,1.04164,1.04137,1.04141,119.44
24.11.2022 01:33:00.000 UTC,1.04141,1.04141,1.04132,1.04136,104.38
24.11.2022 01:34:00.000 UTC,1.04136,1.04137,1.04117,1.04119,183.89
24.11.2022 01:35:00.000 UTC,1.04119,1.04125,1.04111,1.04121,330.03
24.11.2022 01:36:00.000 UTC,1.04121,1.04128,1.04121,1.04126,111.5
24.11.2022 01:37:00.000 UTC,1.04126,1.04132,1.04123,1.0413,186.56
24.11.2022 01:38:00.000 UTC,1.04135,1.04158,1.04135,1.04152,321.9
24.11.2022 01:39:00.000 UTC,1.04152,1.04159,1.04146,1.04152,241.87
24.11.2022 01:40:00.000 UTC,1.04153,1.04166,1.04151,1.04166,294.87
24.11.2022 01:41:00.000 UTC,1.04165,1.04178,1.04165,1.04175,220.55
24.11.2022 01:42:00.000 UTC,1.04173,1.04212,1.04171,1.04208,380.26
24.11.2022 01:43:00.000 UTC,1.04207,1.04229,1.04202,1.04227,328.06
24.11.2022 01:44:00.000 UTC,1.04226,1.04232,1.04217,1.04232,274.2
24.11.2022 01:45:00.000 UTC,1.04231,1.04249,1.04224,1.04234,432.56
